HopsAttacker,HopsSourceSink,NumberFakes
15.0,34,68.866863905325445
8.0,34,91.473455178416017
0,34,67.150537634408607
0,34,96.237271853986556
18.0,36,85.268450932684516
9.0,34,89.722592945662541
7.0,35,70.057491289198609
16.0,33,95.184466019417471
14.0,35,100.53643724696356
14.0,33,92.796296296296291
10.0,36,81.627906976744185
14.0,34,102.40629274965801
20.0,30,77.663865546218489
15.0,36,71.663414634146335
0,34,66.909090909090907
11.0,35,89.324074074074076
17.0,36,83.713596138374896
13.0,34,102.99074074074075
13.0,35,84.080251770259636
8.0,33,71.854387656702031
7.0,34,85.923758865248232
22.0,39,109.78703703703704
0,35,84.680851063829792
16.0,36,128.58400718778077
22.0,38,90.604651162790702
16.0,34,106.75776397515529
13.0,33,83.906077348066304
13.0,37,91.56637168141593
7.0,33,75.938894277400578
16.0,34,92.390476190476193
5.0,35,85.946886446886452
11.0,28,85.990196078431367
15.0,34,90.234647112740603
12.0,39,76.588926174496649
15.0,35,52.920883164673413
13.0,36,73.47025495750708
17.0,37,101.12037037037037
9.0,35,88.275147928994087
10.0,33,110.61823361823362
12.0,35,54.270655270655269
9.0,35,75.677917068466726
6.0,33,94.866408518877051
0,34,75.299270072992698
12.0,28,81.418699186991873
14.0,33,91.898148148148152
16.0,34,86.993197278911566
10.0,34,107.59774436090225
0,31,102.14285714285714
16.0,35,94.19754680438993
18.0,39,103.03613369467028
