alpha,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,1,1,1,1,1,1
beta,0,0.2,0.4,0.6,0.8,1,0,0.2,0.4,0.6,0.8,1,0,0.2,0.4,0.6,0.8,1,0,0.2,0.4,0.6,0.8,1,0,0.2,0.4,0.6,0.8,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EnergyConsumption,4951452400,15661786800,26513986800,36012886400,45919349200,55651870800,64698004000,74195812000,83701987600,93722992800,103771258400,114749832400,124856030400,134425355600,144716085200,154799842800,163382874800,173574778400,183513600800,192375016400,201948278000,211107413200,220922004000,230728776000,240137971200,249332424000,259041316800,267766995200,277189224000,286787790800
Delay,371339509.634,381589768.339,375240802.988,376081162.537,387665470.025,373445626.2,386046150.896,381779620.571,367596210.174,359773988.872,390020074.591,382005754.316,377469968.002,387470981.678,392790661.095,379723938.54,380917895.113,377939606.345,359978932.611,374652566.518,387131082.963,363032020.232,371528887.652,370095909.41,368139001.607,378428496.448,374587013.607,383003587.666,374494879.147,387148893.379
Safety,844.4,1000,920.3,795,976,809.3,775.5,940.9,805.4,868.9,949,993.6,776.5,942.5,934,801,821.8,931.7,769.2,849,869,808.9,930.9,846.4,798.4,862.1,846.3,797,782.8,938.3
