100,1000,1000000000.0,2
0,0,0,1,10,11
1,0,1,0,2,11,12,10
2,0,2,11,1,3,12,13
3,0,3,12,2,4,13,14
4,0,4,15,3,5,14,13
5,0,5,16,4,14,6,15
6,0,6,16,17,15,5,7
7,0,7,8,16,18,6,17
8,0,8,9,18,19,17,7
9,0,9,8,18,19
10,1,0,0,1,11,20,21
11,1,1,0,1,2,10,12,20,21,22
12,1,2,1,2,3,11,13,21,22,23
13,1,3,2,3,4,12,14,22,23,24
14,1,4,3,4,5,13,15,23,24,25
15,1,5,4,5,6,14,16,24,25,26
16,1,6,5,6,7,15,17,25,26,27
17,1,7,6,7,8,16,18,26,27,28
18,1,8,7,8,9,17,19,27,28,29
19,1,9,8,9,18,28,29
20,2,0,10,11,21,30,31
21,2,1,32,10,11,12,20,22,30,31
22,2,2,32,33,11,12,13,21,23,31
23,2,3,32,33,34,12,13,14,22,24
24,2,4,33,34,35,13,14,15,23,25
25,2,5,34,35,36,14,15,16,24,26
26,2,6,35,36,37,15,16,17,25,27
27,2,7,36,37,38,16,17,18,26,28
28,2,8,37,38,39,17,18,19,27,29
29,2,9,18,19,28,38,39
30,3,0,40,41,20,21,31
31,3,1,32,40,41,42,20,21,22,30
32,3,2,33,41,42,43,21,22,23,31
33,3,3,32,34,42,43,44,22,23,24
34,3,4,33,35,43,44,45,23,24,25
35,3,5,34,36,44,45,46,24,25,26
36,3,6,35,37,45,46,47,25,26,27
37,3,7,36,38,46,47,48,26,27,28
38,3,8,37,39,47,48,49,27,28,29
39,3,9,48,49,28,29,38
40,4,0,41,50,51,30,31
41,4,1,32,40,42,50,51,52,30,31
42,4,2,32,33,41,43,51,52,53,31
43,4,3,32,33,34,42,44,52,53,54
44,4,4,33,34,35,43,45,53,54,55
45,4,5,34,35,36,44,46,54,55,56
46,4,6,35,36,37,45,47,55,56,57
47,4,7,36,37,38,46,48,56,57,58
48,4,8,37,38,39,47,49,57,58,59
49,4,9,48,58,59,38,39
50,5,0,40,41,51,60,61
51,5,1,40,41,42,50,52,60,61,62
52,5,2,41,42,43,51,53,61,62,63
53,5,3,64,42,43,44,52,54,62,63
54,5,4,64,65,43,44,45,53,55,63
55,5,5,64,65,66,44,45,46,54,56
56,5,6,65,66,67,45,46,47,55,57
57,5,7,66,67,68,46,47,48,56,58
58,5,8,67,68,69,47,48,49,57,59
59,5,9,48,49,58,68,69
60,6,0,50,51,61,70,71
61,6,1,70,71,72,50,51,52,60,62
62,6,2,71,72,73,51,52,53,61,63
63,6,3,64,72,73,74,52,53,54,62
64,6,4,65,73,74,75,53,54,55,63
65,6,5,64,66,74,75,76,54,55,56
66,6,6,65,67,75,76,77,55,56,57
67,6,7,66,68,76,77,78,56,57,58
68,6,8,67,69,77,78,79,57,58,59
69,6,9,58,59,68,78,79
70,7,0,80,81,60,61,71
71,7,1,70,72,80,81,82,60,61,62
72,7,2,71,73,81,82,83,61,62,63
73,7,3,64,72,74,82,83,84,62,63
74,7,4,64,65,73,75,83,84,85,63
75,7,5,64,65,66,74,76,84,85,86
76,7,6,65,66,67,75,77,85,86,87
77,7,7,66,67,68,76,78,86,87,88
78,7,8,67,68,69,77,79,87,88,89
79,7,9,88,89,68,69,78
80,8,0,81,90,91,70,71
81,8,1,70,71,72,80,82,90,91,92
82,8,2,71,72,73,81,83,91,92,93
83,8,3,72,73,74,82,84,92,93,94
84,8,4,73,74,75,83,85,93,94,95
85,8,5,96,74,75,76,84,86,94,95
86,8,6,96,97,75,76,77,85,87,95
87,8,7,96,97,98,76,77,78,86,88
88,8,8,97,98,99,77,78,79,87,89
89,8,9,88,98,99,78,79
90,9,0,80,81,91
91,9,1,80,81,82,92,90
92,9,2,91,81,82,83,93
93,9,3,92,82,83,84,94
94,9,4,95,83,84,85,93
95,9,5,96,94,84,85,86
96,9,6,97,95,85,86,87
97,9,7,88,96,98,86,87
98,9,8,88,89,99,97,87
99,9,9,88,89,98
