experiment_7
1474
9380
8028
370
916
142
330
518
444
152
1544
436
372
9986
526
1006
490
3948
2410
284
952
780
400
302
4294
356
744
228
488
1128
282
396
474
452
1092
1370
504
966
2000
1580
478
664
4278
424
11626
858
226
782
370
228
218
2640
492
566
1534
564
1838
454
246
234
6216
862
546
490
568
562
2960
272
6242
882
462
446
5356
5934
272
262
3114
414
322
1626
736
3188
586
620
482
3694
1478
1160
470
410
406
862
798
1274
2822
546
670
552
1000
902
574
424
520
4292
1068
418
1266
998
2302
1714
430
3324
310
974
432
242
406
242
3926
798
334
1812
518
4530
240
2164
5046
236
982
6936
472
12390
366
2630
270
2522
1672
556
574
5520
418
8062
4688
326
560
3618
5686
302
7010
2698
4730
508
912
732
660
324
3334
812
5134
428
378
4618
8334
350
332
194
604
302
142
3462
366
590
664
326
1968
452
278
734
6794
11426
1044
1426
374
996
2686
494
408
11952
3472
578
204
284
482
1896
816
770
440
1238
2584
172
610
1872
1378
934
1410
516
6584
222
184
370
364
288
586
232
316
2252
6572
732
1194
288
2212
318
3108
1168
7476
126
196
184
6322
3784
1614
516
3522
316
4136
956
840
292
3456
358
1618
1756
790
1276
466
1560
824
334
248
302
216
2192
2350
214
1452
372
426
302
346
306
550
532
1014
4182
4674
1342
564
372
704
152
374
256
1390
7300
2852
5444
1016
644
1064
510
264
350
2826
13824
10160
504
360
430
776
178
148
452
2476
628
354
402
92
3796
1948
412
1304
924
1226
442
372
858
2674
208
80
194
358
1112
158
116
120
386
2470
3864
120
1986
2006
466
4116
434
456
6556
5284
1786
5800
3116
756
632
2304
282
5632
400
8018
2660
1102
1558
448
1832
424
210
334
17824
2208
622
1952
576
2316
468
198
360
2176
1164
266
202
418
1338
552
7816
272
150
520
608
436
234
464
436
604
698
326
490
540
658
344
962
498
8080
290
212
472
4488
720
494
1674
544
496
498
642
574
1976
596
3584
200
8922
978
206
448
382
4896
438
378
888
6806
150
432
344
1074
704
196
10344
572
508
5012
2294
408
394
402
868
114
728
762
372
8198
498
352
7682
526
2586
12294
1794
1136
492
760
2840
3952
1380
1802
446
1750
1464
230
3310
1246
372
534
644
10372
3010
448
420
258
1010
206
442
668
1914
300
7402
162
540
142
434
2172
1162
966
982
556
262
338
1342
256
388
2072
906
4338
620
1764
3348
650
442
1546
916
866
144
468
2464
260
2398
402
2290
862
266
282
222
424
1482
472
