experiment_6
2502
3808
8550
1552
8088
7160
2812
6714
6580
228
480
392
4984
630
980
472
1814
738
440
660
4562
3744
3582
2374
10844
370
5256
2028
6596
2478
1158
412
596
574
368
3030
220
1042
260
266
356
1532
550
214
332
2828
17154
460
972
1208
508
5440
3010
294
1854
928
392
292
230
2808
640
518
128
2518
2098
230
2286
5202
2318
7458
11074
418
264
380
3288
568
320
192
288
420
5122
3952
752
1944
6654
510
17342
3742
292
522
5914
336
3012
416
6062
2800
3668
386
440
5432
2458
358
17168
1992
290
1422
1168
444
1992
1014
834
954
842
1268
408
394
8888
544
918
9950
492
646
13394
1478
11072
974
930
7794
1196
3390
624
372
236
286
574
760
13428
410
3364
2102
216
418
9348
6184
1124
610
6496
29084
5372
3624
4250
342
492
3910
2428
804
3870
360
544
472
1988
7110
332
556
5302
316
4000
2832
3844
2374
2724
164
11250
1924
4348
2566
5908
286
810
1126
296
720
416
3444
2672
368
554
15088
5154
2682
414
754
9994
292
362
460
7160
310
952
464
6928
1602
522
1430
432
6912
1628
418
680
6260
13842
472
6724
1288
578
14232
4448
502
4684
482
280
844
1452
1770
1038
238
2050
806
258
812
3958
10508
2030
7402
2352
2612
564
772
1068
278
406
508
4228
592
1192
3164
406
420
698
1034
302
3470
764
1094
5888
314
3650
396
5324
3422
3156
1770
2760
3258
1414
1694
578
418
4858
452
1684
474
14098
3222
1840
462
2532
734
2284
338
360
5010
1088
8024
962
502
7492
1084
2484
398
5132
5408
3292
3350
628
402
486
330
388
1650
1372
7444
8008
1894
3254
7330
1884
1046
1500
2648
20714
2898
474
952
336
324
364
7582
11072
2442
442
3204
3458
4694
1328
8094
412
604
6868
442
2950
678
3222
5002
5288
1102
1452
1280
490
1298
478
1202
654
326
3270
3446
2720
508
6322
6292
452
366
6948
1508
1372
3642
382
412
326
568
2590
1790
8742
5324
3728
3034
1174
7998
3902
1884
4362
6508
7762
452
2518
320
4470
5484
1994
290
484
3770
5142
470
1252
5484
444
226
9972
858
4260
370
3114
558
12354
718
2038
470
3570
236
368
342
654
2504
608
552
2312
356
258
12858
1354
888
554
4724
1164
1604
1876
4882
518
432
1190
220
852
370
3658
224
452
2842
9378
504
718
5400
1688
1912
502
2204
1432
2610
2702
286
354
7900
2260
470
542
3794
500
450
304
1172
2094
392
892
380
572
192
1578
270
480
580
2632
504
4514
9972
1472
6558
498
1010
636
1304
150
342
680
408
7570
10812
13788
1632
1582
8390
6474
982
2804
4074
664
2534
754
270
352
346
2524
8648
2242
3410
1060
622
338
4052
526
9734
